,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,dissimilarity_l,contrast_l,homogeneity_l,energy_l,correlation_l,dissimilarity_u,contrast_u,homogeneity_u,energy_u,correlation_u,class
0,0,0,0,0,0,0,0,32.368743896484375,49.696380615234375,33.362030029296875,39.834151136762806,52.506719915779506,38.36613008469653,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black_rot
0,204.0,133.4558436870575,27,51,1.5882352941176472,4.125,174.61237464925807,42.93745422363281,57.69328308105469,39.44664001464844,48.854789379606004,62.78705365355447,44.54978222523067,0.19819240196078441,28.440287990196097,0.9969063420241283,0.9965073812579841,0.7844905179424522,0.1251225490196079,17.272487745098047,0.9971578962681662,0.9967524731691891,0.8691157807869385,Black_rot
0,0.0,10.0,5,10,2.5,0,0,45.18598937988281,57.1600341796875,41.60020446777344,52.56786791310889,63.90456350463229,47.90947578967642,0.1041666666666667,15.112316176470594,0.9991122530141685,0.9990043000208214,0.44863829159853574,0.06102941176470589,8.791574754901962,0.9992267012172543,0.9991574818313683,0.6792458799962718,Black_rot
0,0,0,0,0,0,0,0,35.30284118652344,58.16416931152344,38.26673889160156,48.02776940243386,65.49321504378996,48.57793529984105,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black_rot
0,0,0,0,0,0,0,0,29.633987426757812,51.39955139160156,31.13348388671875,39.64870294253925,62.800770042559186,42.488939400256,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black_rot
0,0,0,0,0,0,0,0,25.8670654296875,49.603973388671875,30.187103271484375,31.15126880836026,50.59613518189897,33.58205640858629,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black_rot
0,0.0,6.0,1,4,0.25,0,0,20.339263916015625,44.44921875,31.107955932617188,32.05963509975846,57.317672912041346,42.17077345129539,0.01902573529411765,2.957261029411765,0.9998774560827594,0.9998774523885269,-6.120541185425027e-05,0.004963235294117647,0.7342830882352941,0.9999403642853557,0.9999234072147626,0.7516864344977371,Black_rot
0,0.0,8.0,2,6,0.6666666666666666,0,0,41.8941650390625,64.45845031738281,45.76336669921875,46.67447243500502,67.0913723284077,49.78362733203817,0.022334558823529416,4.076133578431373,0.9998774546852519,0.9998774519191487,-6.119316668408665e-05,0.011182598039215686,1.9572610294117647,0.9999112316486011,0.999908088704658,0.5197947361760787,Black_rot
0,5.5,11.41421353816986,4,4,1.0,0.0,23.688049217261838,28.72344970703125,54.71759033203125,32.84803771972656,35.95855442236793,58.212967545750175,39.24240750447914,0.018964460784313724,2.8347426470588237,0.9997970924175414,0.9997549030756943,0.672177424481142,0.019270833333333334,2.855974264705883,0.9997651587382173,0.9997549031343738,0.6697221033299569,Black_rot
0,4.0,35.31370830535889,20,8,10.0,40.833333333333336,779.4112464224833,30.54205322265625,51.12004089355469,35.640472412109375,40.02832746739502,57.805067701929865,43.6759380815813,0.0768075980392157,11.144270833333337,0.9988861937224341,0.9987132423429984,0.7788627847152827,0.13097426470588241,19.607322303921578,0.9986457812901821,0.9985294215174529,0.6109293538963427,Black_rot
0,15.0,36.485281229019165,16,8,4.0,2.1333333333333333,133.11757463606182,27.098312377929688,53.89677429199219,31.111160278320312,36.20644262600853,58.63978486895753,38.60510792460064,0.0979779411764706,15.393259803921572,0.9988589949865858,0.9987745172635296,0.6919217063950011,0.0853247549019608,13.247977941176472,0.9988843534959817,0.998820473439211,0.7348570419896026,Black_rot
0,73.5,141.69848430156708,49,42,8.166666666666668,66.37142857142857,1092.705330795181,37.73686218261719,64.45555114746094,40.48193359375,46.77865443563334,66.65956012594347,46.78506845295766,0.31148897058823555,44.50968137254905,0.9947393597556474,0.9942708766416275,0.8214341613108533,0.3345281862745101,48.25235906862749,0.9946703697677867,0.9941789694245862,0.8064191272523173,Black_rot
0,0,0,0,0,0,0,0,21.05291748046875,45.2598876953125,29.120529174804688,31.205769108740057,53.76137313712281,37.52130964763991,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black_rot
0,0,0,0,0,0,0,0,23.777908325195312,42.70684814453125,21.201156616210938,30.849041598544428,48.322148113147165,29.689846523302844,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black_rot
0,32.0,80.0,40,16,20.0,56.79464285714286,900.0,35.51533508300781,62.9996337890625,43.1046142578125,46.5168558704219,69.31524427025268,51.2975101877521,0.48308823529411793,68.29166666666674,0.9888687378963908,0.9875154332230877,0.8876419088235519,0.4692401960784317,65.72083333333339,0.9888547430895106,0.9875766998845766,0.8918716185402,Black_rot
0,0,0,0,0,0,0,0,32.85322570800781,60.54156494140625,39.79930114746094,37.62739411970788,59.49020494597282,43.232418514582356,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black_rot
